mag_mean,mag_var,mag_skew,mag_kurt,mag_w_e_mean,mag_w_e_var,mag_w_e_skew,mag_w_e_kurt,Variability
0.010449874999999942,1.9596413659375132e-05,-0.2334278996491653,-0.5432551118436377,0.004449874939999943,1.959641365937513e-05,-0.2334278996491658,-0.5432551118436364,0
-0.01410014999999971,1.6591420627498473e-05,-0.20983861224250971,0.4186272311323198,-0.008100149939999713,1.659142062749847e-05,-0.20983861224250822,0.41862723113232025,0
-0.009125124999999823,1.5710094559376148e-05,0.33585151804690383,-0.07873567962871064,-0.003125124939999823,1.5710094559376148e-05,0.335851518046904,-0.07873567962871064,0
-0.004100300000000168,1.6539590609999294e-05,-0.19972296893865574,-0.7037880605684577,0.0018997000599998322,1.6539590609999294e-05,-0.19972296893865574,-0.7037880605684577,0
0.00032487500000000225,1.3319757359377035e-05,-0.09780287083312397,-0.7437675839550701,0.006324875060000001,1.3319757359377035e-05,-0.09780287083312314,-0.7437675839550706,0
0.0051250000000003125,1.2309375800001557e-05,-0.06916690688769846,-0.5122839995610553,0.011125000060000311,1.2309375800001554e-05,-0.06916690688769764,-0.5122839995610531,0
0.011075100000000315,1.5369960840000555e-05,0.2526331624951513,-0.7640638882905333,0.017075100060000313,1.5369960840000555e-05,0.2526331624951525,-0.7640638882905324,0
-0.014874775000000095,2.1760269524374016e-05,-0.0630559792383159,0.1121644488664999,-0.020874775060000093,2.1760269524374012e-05,-0.06305597923831678,0.1121644488664999,0
-0.00849977500000012,1.7851975824376875e-05,0.1948331991289253,-0.4533712164461381,-0.014499775060000119,1.7851975824376872e-05,0.19483319912892416,-0.4533712164461372,0
-0.004674724999999924,2.1319397249374526e-05,0.11299136404802686,-0.3423742560462668,0.0013252750600000758,2.1319397249374526e-05,0.1129913640480269,-0.3423742560462668,0
0.00027514999999986853,2.3798893327500465e-05,-0.12189045647982939,-0.2624672513720858,0.006275150059999868,2.3798893327500465e-05,-0.12189045647982939,-0.2624672513720858,0
0.005950199999999928,2.1898520860001237e-05,0.06378088399266602,-0.6185531160892177,-4.9800060000072115e-05,2.1898520860001237e-05,0.06378088399266614,-0.6185531160892177,0
0.011724974999999648,1.7402112274374622e-05,-0.06419887311482007,-0.26295721505344094,0.00572497493999965,1.7402112274374622e-05,-0.06419887311482138,-0.2629572150534414,0
-0.014299975000000043,1.630916622437294e-05,-0.12480669846476049,-0.5202739634554683,-0.02029997506000004,1.630916622437294e-05,-0.12480669846476175,-0.5202739634554678,0
-0.010300075000000141,1.7211005869374633e-05,0.06202045617421712,-0.8242284523105856,-0.004300074940000142,1.7211005869374633e-05,0.062020456174217656,-0.824228452310587,0
-0.0048750500000002365,1.7211388297502545e-05,0.3230587879521793,-0.3766048240651978,0.0011249500599997638,1.7211388297502545e-05,0.3230587879521791,-0.3766048240651978,0
0.00027492500000052543,1.489966731937711e-05,-0.04229438692780732,-1.0074238607417028,0.006274925060000524,1.489966731937711e-05,-0.0422943869278067,-1.0074238607417028,0
0.005475125000000159,1.6848457309373785e-05,-0.7798461458562159,0.6273548452261037,0.011475125060000157,1.6848457309373782e-05,-0.7798461458562149,0.6273548452261033,0
0.009124975000000202,1.9959532524373742e-05,-0.26251695620538007,-0.06983059760974974,0.015124975060000202,1.9959532524373742e-05,-0.26251695620538007,-0.06983059760974974,0
-0.014824899999999896,1.4345840839998962e-05,-0.12713972350253697,-0.7803496084477972,-0.008824899939999898,1.4345840839998962e-05,-0.12713972350253563,-0.7803496084477972,0
-0.009525024999999942,1.3598499724374173e-05,0.5958729149623716,0.03228282845127861,-0.0035250249399999428,1.3598499724374173e-05,0.5958729149623718,0.03228282845127861,0
-0.004525249999999747,1.3299813587498796e-05,0.11177440527571063,-1.0347916114224027,-0.010525250059999746,1.3299813587498796e-05,0.11177440527570992,-1.0347916114224034,0
0.00032480000000001397,1.676910615999855e-05,0.5218748433705135,-0.18570336478090743,0.006324800060000013,1.6769106159998552e-05,0.5218748433705137,-0.18570336478090788,0
0.006400000000000361,1.8089751200001965e-05,0.0027362572217065726,-1.203685357021518,0.0003999999400003611,1.8089751200001965e-05,0.0027362572217065726,-1.203685357021518,0
0.010774875000000517,1.5723819659373122e-05,-0.1628356616606075,-0.8947134071458889,0.016774875060000517,1.5723819659373122e-05,-0.1628356616606075,-0.8947134071458889,0
